,NUMERO,NOM_VOIE,CODE_POSTAL,NOM_COMMUNE,id
82,713,Route de TrÃ©connas,01250,CeyzÃ©riat,82
83,282,Route du Col de la Lebe,01110,Plateau d'Hauteville,83
84,468,Rue des Moraines,01170,Chevry,84
85,13,Rue du Champ de Foire,01500,Ambronay,85
86,37,Route de BÃ¢gÃ©,01380,Saint-Cyr-sur-Menthon,86
87,371,Route des Greffets,01290,Cormoranche-sur-SaÃ´ne,87
88,2064,Route de Cuvillat,01260,Haut Valromey,88
89,59,Impasse de la Poyat,01480,Frans,89
90,80,Chemin du Lavoir,01250,Hautecourt-RomanÃ¨che,90
91,4,Chemin de sous Paradis,01800,Saint-Maurice-de-Gourdans,91
92,41,Rue Jean JaurÃ¨s,01250,CeyzÃ©riat,92
93,6,Impasse du Puits,01580,Matafelon-Granges,93
94,443,Route de Saint Martin,01310,Curtafond,94
95,143,Chemin du Mas Pressieu,01800,PÃ©rouges,95
96,235,Les Blancs dâ€™En Bas,01851,Marboz,96
97,13,Av Francois Prosper de Douglas,01460,MontrÃ©al-la-Cluse,97
98,36,Route de Mategnin,01280,PrÃ©vessin-MoÃ«ns,98
99,481,Rue Pierre Malfant,01550,Farges,99
100,292,Les Crets Moguets,01130,Le Poizat-Lalleyriat,100
101,50,Route de Geneve,01130,Les Neyrolles,101
102,242,Grande Rue,01700,Miribel,102
103,302,Rue de la Villeneuve,01290,Crottet,103
104,89,Rue du Vieux Bac,01510,Talissieu,104
105,1,Chemin de la Combe,01250,CeyzÃ©riat,105
106,265,Route de Bourg,01340,Attignat,106
107,145,Rue Charles Robin,01250,Jasseron,107
108,508,Rue Voltaire,01220,Divonne-les-Bains,108
109,264,Chemin Gaillebeau,01390,Mionnay,109
110,269,Chemin des Rogations,01150,Saint-Vulbas,110
111,2,Rue du Jubile,01140,Saint-Didier-sur-Chalaronne,111
112,14,rue antoine de saint-exupery,01000,Bourg-en-Bresse,112
113,155,Allee des Pres,01160,La TrancliÃ¨re,113
114,1164,Route de Manziat,01380,BÃ¢gÃ©-Dommartin,114
115,11,Chante Merle,01600,Saint-Didier-de-Formans,115
116,50,Route de Chante Grillet,01290,Laiz,116
117,278,Route du Bois Sec,01190,Ozan,117
118,86,Rue de Moinans,01250,Bohas-Meyriat-Rignat,118
119,3,Rue des Jardins,01140,Thoissey,119
120,2,Residence le Clos de Monthieux,01390,Monthieux,120
121,50,Route de Saint Jean de Gonville,01630,PÃ©ron,121
122,85,Chemin des Monts dâ€™Ain,01130,Nantua,122
123,46,AllÃ©e des Iris,01320,Chalamont,123
124,74,Rue du Village,01200,ValserhÃ´ne,124
125,41,Chemin de la Source,01300,AmblÃ©on,125
126,106,Chemin du Cernay,01190,Boz,126
127,258,Chemin des Breilles,01480,Savigneux,127
128,16,Rue de la Poste,01360,BÃ©ligneux,128
129,15,Impasse du ChÃªne,01660,Vandeins,129
130,870,Chemin de Fournieux,01480,Chaleins,130
131,19,Rue de la Source,01550,Collonges,131
132,466,Route de la Gare,01150,Vaux-en-Bugey,132
133,470,Rue du Bief Chapuis,01110,Plateau d'Hauteville,133
134,273,Chemin de la Fontaine du Soleil,01700,Beynost,134
135,13,Route de Port Galland,01800,Saint-Maurice-de-Gourdans,135
136,9,Impasse d'Ouessant,01800,Meximieux,136
137,3,Rue Clos Jacquemet,01200,ValserhÃ´ne,137
138,782,Route Departementale 933,01480,Messimy-sur-SaÃ´ne,138
139,25,Impasse de l'Eglise,01400,Dompierre-sur-Chalaronne,139
140,1693,route de menthiÃ¨res,01410,ChÃ©zery-Forens,140
141,6,Route Departementale 933,01480,Messimy-sur-SaÃ´ne,141
142,1,Lotissement la Balme,01500,Saint-Denis-en-Bugey,142
143,30,Rue des Moissons,01000,Saint-Denis-lÃ¨s-Bourg,143
144,1085,Grande Rue,01570,Feillens,144
145,1,Rue du Grelozet,01150,Blyes,145
146,209,Grande Rue,01240,Lent,146
147,15,Chemin des Musiciens,01480,Fareins,147
148,415,Route de la Croix CarrÃ©e,01370,BÃ©ny,148
149,33,Chemin de la Fontaine,01460,Nurieux-Volognat,149
150,167,Route de Reyrieux,01600,Parcieux,150
151,180,Chemin des Aranyes,01220,Divonne-les-Bains,151
152,264,Rue des Ecoliers,01390,Civrieux,152
153,5,Rue du Centre,01100,Bellignat,153
154,1903,la SauteliÃ¨re,01240,Dompierre-sur-Veyle,154
155,36,Rue de la Fontaine,01350,Culoz,155
156,105,Chemin de la Mine,01160,Saint-Martin-du-Mont,156
157,101,Rue des Artisans,01800,Meximieux,157
158,48,Rivoire,01430,Vieu-d'Izenave,158
159,2,Rue du Docteur Farjon,01100,Oyonnax,159
160,1680,Route de Noblens,01250,Villereversure,160
161,8,rue jules migonney,01000,Bourg-en-Bresse,161
162,56,La CourbatiÃ¨re,01150,Lagnieu,162
163,179,Rue de lâ€™Etang,01640,L'Abergement-de-Varey,163
164,294,Grande Rue,01340,BÃ©rÃ©ziat,164
165,488,Rue de Divonne,01210,Ornex,165
166,148,Allee des Grabottieres,01600,MisÃ©rieux,166
167,54,Rue de la Pompe,01640,Saint-Jean-le-Vieux,167
168,94,Place du Monument aux Morts,01510,Virieu-le-Grand,168
169,38,Rue du Docteur Hubert,01160,Neuville-sur-Ain,169
170,323,Rue de l'Huppe,01340,Montrevel-en-Bresse,170
171,195,Rue Neuve,01750,Saint-Laurent-sur-SaÃ´ne,171
172,4,Lotissement le Clos des Moissons,01340,Jayat,172
173,8,Rue de Pommont,01350,Flaxieu,173
174,315,Chemin des Arenes,01120,Dagneux,174
175,54,Rue du Coteau,01700,Miribel,175
176,205,Chemin des ChÃªnes,01170,Crozet,176
177,3,Rue du 11 Novembre 1918,01100,Arbent,177
178,7,Rue de Chantemerle,01420,Chanay,178
179,43,Impasse du Pressoir,01250,CeyzÃ©riat,179
180,29,Chemin de Beauregard,01480,Jassans-Riottier,180
181,88,Route de Loyettes,01150,Lagnieu,181
182,39,Lotissement de Grelonges,01480,Fareins,182
183,533,Chemin de la RÃ©sistance,01340,Marsonnas,183
184,181,Rue des PÃ©rouses,01350,Culoz,184
185,106,Place Saint-sylvestre,01150,Sainte-Julie,185
186,408,Rue des Maures,01170,Ã‰chenevex,186
187,105,Chemin de la Croix Biche,01160,Saint-Martin-du-Mont,187
188,1,place docteur touillon,01000,Bourg-en-Bresse,188
189,154,Impasse de la Tuilerie,01330,Villars-les-Dombes,189
190,32,Lotissement PrÃ© Perret,01260,Valromey-sur-SÃ©ran,190
191,310,Rue de la Ville,01340,Attignat,191
192,67,Chemin du Champ de Chaux,01250,Tossiat,192
193,1,Chemin du Raisonnier,01250,Nivigne et Suran,193
194,27,Rue des Sources,01370,Val-Revermont,194
195,2140,Route des Blancs,01851,Marboz,195
196,412,Rue de l'Ange,01100,Bellignat,196
197,70,Chemin de la Fromagerie,01160,Druillat,197
198,27,Rue du Quart d'Amont,01430,Vieu-d'Izenave,198
199,8,Lotissement les Grandes Raies,01200,Billiat,199
200,14,Rue Albert Egret,02120,Tupigny,200
201,1,Lieu Dit le Moulin de L Ocq,02320,Anizy-le-Grand,201
202,8,Rue RenÃ© Cagniart,02190,Aguilcourt,202
203,14,Rue du Presbytere,02260,La Flamengrie,203
204,21,Avenue de la LibÃ©ration,02400,Nogentel,204
205,10,Rue Jean Moulin,02500,Hirson,205
206,3,Rue des Maisonnettes,02400,Verdilly,206
207,50,Rue Olivier Deguise,02110,Bohain-en-Vermandois,207
208,29,Rue du Lavoir,02320,PrÃ©montrÃ©,208
209,3,Rue du Moulin du Bas,02160,Viel-Arcy,209
210,52,Rue de la ClairiÃ¨re,02700,Tergnier,210
211,6,Avenue Victor Hugo,02300,Chauny,211
212,14,Rue Watteau,02700,Tergnier,212
213,80,Rue du Vallon,02100,Harly,213
214,1,Rue des Chaudronniers,02340,MontlouÃ©,214
215,1,Rue des Grignards,02510,VÃ©nÃ©rolles,215
216,45,Rue du GÃ©nÃ©ral Mangin,02600,Villers-CotterÃªts,216
217,19,Rue du Bois l'AbbÃ©,02700,FriÃ¨res-FaillouÃ«l,217
218,10,Rue de la Poste,02110,Beaurevoir,218
219,195,Rue Charles Picard,02230,Fresnoy-le-Grand,219
220,12,Impasse des Glycines,02400,ChÃ¢teau-Thierry,220
221,1,Rue du Gland,02830,Saint-Michel,221
222,6,Rue Pluchart,02100,Saint-Quentin,222
223,27,Route de Craonnelle,02160,Craonne,223
224,9,Rue des Vallees,02300,Selens,224
225,89,Rue Pasteur,02000,Laon,225
226,6,Rue de Verdun,02110,Beaurevoir,226
227,11,Rue Sadi Carnot,02300,BlÃ©rancourt,227
228,2,Mennejean,02880,Nanteuil-la-Fosse,228
229,15,Rue des Meuniers,02240,Itancourt,229
230,6,Rue Emile Zola,02700,Tergnier,230
231,2,Rue de la Pomme-roi,02570,La Chapelle-sur-ChÃ©zy,231
232,29,Rue de CoquimprÃ©,02830,Watigny,232
233,14,Rue du Bois d'Ouvret,02600,LouÃ¢tre,233
234,12,Rue du ChÃ¢teau,02210,Grand-Rozoy,234
235,43,Rue des Vignes,02310,Domptin,235
236,27,Rue des Mariniers,02400,Chierry,236
237,12,Rue du Rejet,02120,Marly-Gomont,237
238,2,Rue de l'Abreuvoir,02240,Ribemont,238
239,7,Rue des Facons,02240,Ribemont,239
240,43,Rue Benjamin Delessert,02700,Tergnier,240
241,13,Rue de Verdun,02830,Saint-Michel,241
242,11,Rue de Juvigny,02880,Leury,242
243,7,Rue Gounod,02100,Saint-Quentin,243
244,570,Rue de Reims,02200,Venizel,244
245,13,Rue de SÃ©nicourt,02300,Chauny,245
246,33,Rue des Troupes,02490,Vermand,246
247,456,Rue Pasteur,02200,Venizel,247
248,17,Rue des Faucons,02100,Saint-Quentin,248
249,85,Rue des Chasseurs,02200,Villeneuve-Saint-Germain,249
250,15,Rue Curie,02850,TrÃ©lou-sur-Marne,250
251,3,Place du Monument,02160,Vendresse-Beaulne,251
252,1,Rue Saint-jean,02410,Saint-Gobain,252
253,58,Rue du Pont,02310,Saulchery,253
254,9,Rue Victor Hugo,02610,MoÃ¿-de-l'Aisne,254
255,14,Rue Pablo Picasso,02670,Folembray,255
256,5,AllÃ©e des Merisiers,02140,Fontaine-lÃ¨s-Vervins,256
257,12,Rue de VauxcÃ©rÃ©,02220,Vauxtin,257
258,44,Rue Saint Jean,02000,Laon,258
259,8,AllÃ©e des Caribous,02140,Vervins,259
260,1,Route Nationale,02420,Gouy,260
261,6,Rue des Nations,02430,Gauchy,261
262,4,Place de lâ€™Hotel de Ville,02120,Sains-Richaumont,262
263,23,Rue Gabriel PÃ©ri,02670,Folembray,263
264,18,Grande-rue,02210,Hartennes-et-Taux,264
265,1,Rue de la Garenne,02250,Marcy-sous-Marle,265
266,5,Chemin de FroidestrÃ©es,02260,Sommeron,266
267,32,Place Aristide Briand,02600,Villers-CotterÃªts,267
268,27,Rue de Paris,02000,Ã‰touvelles,268
269,2,Rue de la PlÃ©iade,02400,ChÃ¢teau-Thierry,269
270,3,Ferme de Mauchamps,02190,Juvincourt-et-Damary,270
271,6,Rue de l'HÃ´pital,02200,Soissons,271
272,36,Rue Victor Hugo,02850,TrÃ©lou-sur-Marne,272
273,14,Rue des Marchands,02130,FÃ¨re-en-Tardenois,273
274,3,Rue de Janvier,02330,Monthurel,274
275,9,Place Jean de la Fontaine,02400,ChÃ¢teau-Thierry,275
276,13,Rue des PrÃ©s,02190,Villeneuve-sur-Aisne,276
277,32,Rue Olympe de Gouges,02880,Cuffies,277
278,44,Avenue FranÃ§ois Mitterrand,02500,Hirson,278
279,43,Rue Richebourg,02000,Laon,279
280,3,Rue Alain de Thore,02000,Aulnois-sous-Laon,280
281,15,Rue AndrÃ© Ternynck,02300,Chauny,281
282,6,Rue des Tourelles,02600,Saint-Pierre-Aigle,282
283,761,Rue Sadi Carnot,02120,Guise,283
284,40,Rue de la Belle Place,02200,Billy-sur-Aisne,284
285,27,Rue Louis Pasteur,02800,Vendeuil,285
286,4,Rue de la Place,02860,Lierval,286
287,18,Boulevard Alexandre Dumas,02200,Soissons,287
288,4,Rue du Poitou,02100,Saint-Quentin,288
289,4,Rue de Vaucelles,02000,Mons-en-Laonnois,289
290,26,Rue de la Gare,02700,Barisis-aux-Bois,290
291,11,Rue Sainte Berthe,02000,Filain,291
292,5,Rue du PresbytÃ¨re,02220,Ciry-Salsogne,292
293,6,Rue Henri Cottin,02200,Belleu,293
294,14,Rue de la Prairie,02700,Tergnier,294
295,676,Rue Gambetta,02200,Courmelles,295
296,21,Rue Emile Zola,02500,Hirson,296
297,6,Rue de la HurÃ©e,02000,Laon,297
298,25,Rue du Dauphin,02210,Coincy,298
299,387,Rue de l'Oise,02510,Ã‰treux,299
300,76,Rue du 8 Mai 1945,02480,Jussy,300
301,27,Rue Principale,02400,ChartÃ¨ves,301
302,74,Rue des Charmilles,02120,Guise,302
303,2,Ruelle des Terrasses,02210,Droizy,303
304,32,Rue Vidame,02220,Lhuys,304
305,8,Rue de la Cure,02400,Blesmes,305
306,44,Rue du Jeu de Battoir,02100,Saint-Quentin,306
307,17,Rue Neuve,02390,Mont-d'Origny,307
308,28,Rue Jeannine Leduce,02230,Fresnoy-le-Grand,308
309,9,Rue du Docteur Jean Davesne,02200,Soissons,309
310,31,Rue Aristide Briand,02700,Tergnier,310
311,5,Rue Edouard Branly,02000,Laon,311
312,81,Rue de Chambry,02000,Aulnois-sous-Laon,312
313,6,Rue Basse,02360,ChÃ©ry-lÃ¨s-Rozoy,313
314,118,Rue DÃ©moustier,02600,Villers-CotterÃªts,314
315,7,Rue LÃ©on Blum,02830,Saint-Michel,315
316,9,Rue Gambetta,02300,Viry-Noureuil,316
317,26,Rue Haute,02820,Sainte-Croix,317
318,10,Rue du ChÃ¢teau,02270,Pargny-les-Bois,318
319,3,Rue Armand Brimbeuf,02140,Vervins,319
320,24,Rue des Chapelles,02130,Fresnes-en-Tardenois,320
321,50,Rue de la Mairie,02200,Vauxbuin,321
322,67,Rue Villebois Mareuil,02100,Saint-Quentin,322
323,3,Rue des Cours,02330,Pargny-la-Dhuys,323
324,67,Route de Laon,02150,Sissonne,324
325,13,Quai Gayant,02300,Chauny,325
326,4,Rue Jules Verne,02700,Tergnier,326
327,42,Grande Rue,02400,ChÃ¢teau-Thierry,327
328,41,Rue de lâ€™Aumonier Robert Prevot,02100,Saint-Quentin,328
329,44,Rue du 8 Mai 1945,02480,Jussy,329
330,13,Rue de la Foret,02450,BouÃ©,330
331,6,Rue Ernest Lavisse,02170,Le Nouvion-en-ThiÃ©rache,331
332,16,Rue Jeanne d'Arc,02370,Vailly-sur-Aisne,332
333,8,Rue du Pleu,02600,Villers-CotterÃªts,333
334,105,Avenue du GÃ©nÃ©ral Leclerc,02800,La FÃ¨re,334
335,6,Rue Principale,02300,Manicamp,335
336,38,Rue d'Amiens,02100,Saint-Quentin,336
337,9,Rue du GÃ©nÃ©ral de Gaulle,02210,Oulchy-le-ChÃ¢teau,337
338,724,Rue des Monteleux,02200,Villeneuve-Saint-Germain,338
339,31,Rue Delacroix,02300,Chauny,339
340,33,Boulevard Jean Mermoz,02200,Soissons,340
341,6,Rue du Ciel,02340,Chaourse,341
342,2,L'Epine(ferme),02600,ViviÃ¨res,342
343,3,Rue de FaviÃ¨res,02350,Grandlup-et-Fay,343
344,47,Rue Pasteur,02100,Saint-Quentin,344
345,9,Rue de Montpellier,02220,Ciry-Salsogne,345
346,15,Route Nationale,02400,Azy-sur-Marne,346
347,2,Rue de la Charmois,02540,Viels-Maisons,347
348,120,Place de la Mairie,02200,Venizel,348
349,5,Rue de la Fontaine,02210,Le Plessier-Huleu,349
350,1,Ruelle Flamant,02100,Saint-Quentin,350
351,13,Rue de la Plaine,02290,Ambleny,351
352,25,Rue Olympe de Gouges,02880,Cuffies,352
353,22,Rue de Provence,02100,Lesdins,353
354,1,Rue Daniel Tarpin,02000,Laon,354
355,3,Rue Louis Planchon,02100,Rouvroy,355
356,34,Avenue Faidherbe,02100,Saint-Quentin,356
357,4,Impasse de lâ€™Eglise,02810,Saint-Gengoulph,357
358,8,Rue Graimbert,02400,Nogentel,358
359,62,Rue Jean de la Fontaine,02310,Pavant,359
360,111,Rue des Violettes,02120,Guise,360
361,2,Rue de LarziÃ¨re,02300,Bichancourt,361
362,18,Rue Henri Brisson,02100,Saint-Quentin,362
363,31,Rue de l'Eglise,02000,Chivy-lÃ¨s-Ã‰touvelles,363
364,1,Rue de la Seigneurie,02220,ChÃ©ry-Chartreuve,364
365,27,Rue de Cologne,02420,Hargicourt,365
366,20,Rue d'Acy,02200,Septmonts,366
367,9,Impasse Parmentier,02700,Tergnier,367
368,2,Chemin des Carlettes,02220,Cerseuil,368
369,35,Rue Charles Germain,02410,Saint-Gobain,369
370,6,Rue de l'Eglise,02130,Dravegny,370
371,13,Rue Neuve,02860,Laval-en-Laonnois,371
372,35,Rue Joliot Curie,02000,Laon,372
373,2,Rue de lâ€™Eglise,02100,Saint-Quentin,373
374,12,Rue du GÃ©nÃ©ral de Gaulle,02340,Montcornet,374
375,21,Avenue Pasteur,02300,BlÃ©rancourt,375
376,24,Rue Lionel LefÃ¨vre,02420,Lehaucourt,376
377,31,Rue du 8 Mai 1945,02620,Buironfosse,377
378,14,Rue Nouvelle,02490,Vermand,378
379,20,Rue de la Croix de Roche,02290,Berny-RiviÃ¨re,379
380,1,Avenue du President Kennedy,02200,Soissons,380
381,1,Chemin des Vatelets,02880,Chivres-Val,381
382,6,Rue de la LibÃ©ration,02580,Ã‰trÃ©aupont,382
383,25,Rue du Lieutenant Henri Defrance,02760,Holnon,383
384,12,Rue de Grougis,02120,Grand-Verly,384
385,10,Rue d'Haution,02140,La VallÃ©e-au-BlÃ©,385
386,6,Rue de l'Eglise,02200,Buzancy,386
387,4,Rue Henri Poizot,02790,Seraucourt-le-Grand,387
388,3,Place du Monument aux Morts,02160,Vendresse-Beaulne,388
389,550,Rue des Berceaux,02510,Ã‰treux,389
390,6,Rue du Chevalier de la Barre,02100,Saint-Quentin,390
391,2,Rue des Cahots,02600,Faverolles,391
392,13,Rue de Faucouzy,02120,Sains-Richaumont,392
393,12,Hameau de Trebecourt,02380,Jumencourt,393
394,30,Rue Auguste Derbois,02800,Anguilcourt-le-Sart,394
395,39,Rue Debordeaux,02200,Soissons,395
396,28,Chemin du Roquis,02300,Chauny,396
397,106,Rue Faidherbe,02700,Tergnier,397
398,13,Rue de la Croisette,02820,Montaigu,398
399,4,Rue Sainte GeneviÃ¨ve,02190,Bertricourt,399
400,23,Avenue de France,03200,Vichy,400
401,51,Rue RÃ©gemortes,03000,Moulins,401
402,19,Rue des Remouleurs,03100,MontluÃ§on,402
403,3,Chemin de Valvert,03120,Saint-Christophe,403
404,5,Rue Jean-moulin,03430,Cosne-d'Allier,404
405,7,Lieu Dit la Croix Verte,03600,La Celle,405
406,20,Route des Ecluses,03190,Vaux,406
407,4,Rue de la Malicorne,03410,DomÃ©rat,407
408,5,Rue Achille Allier,03160,Bourbon-l'Archambault,408
409,2,Rue des Merciers,03270,Busset,409
410,26,Rue des Terres Molles,03500,Saint-PourÃ§ain-sur-Sioule,410
411,6,Chemin des Cabouennes,03230,Beaulon,411
412,6,Rue des Chenes,03110,Saint-RÃ©my-en-Rollat,412
413,1,allÃ©e de la fontaine saint-marcel,03380,Quinssaines,413
414,72,Rue de Strasbourg,03200,Vichy,414
415,14,Chemin de Tignat,03140,Fleuriel,415
416,9,Rue du Verger,03400,Yzeure,416
417,7,Avenue de Gerardmer,03200,Vichy,417
418,14,Village de Varigny,03190,Reugny,418
419,15,Chemin de Lafont,03300,Cusset,419
420,19,Rue Georges Copet,03440,BuxiÃ¨res-les-Mines,420
421,598,Route de Crozat,03310,Saint-Genest,421
422,105,Chemin de Breux,03500,Saint-PourÃ§ain-sur-Sioule,422
423,9,la Roche,03500,Bransat,423
424,823,Lieu Dit la Bussiere Foret,03160,Bourbon-l'Archambault,424
425,31,Route des Tressots,03800,Saint-Bonnet-de-Rochefort,425
426,17,Rue Gambetta,03130,Le Donjon,426
427,11,Rue du 11 Novembre,03190,Vallon-en-Sully,427
428,25,Rue Gravier,03700,Bellerive-sur-Allier,428
429,10,Rue des Ecoles,03370,Saint-DÃ©sirÃ©,429
430,8,Rue Edmond Rostand,03630,DÃ©sertines,430
431,1,Chemin des Brosses,03470,Pierrefitte-sur-Loire,431
432,9,Rue des Loges,03220,Thionne,432
433,7,Chemin des Plantes,03400,Yzeure,433
434,28,Grande Rue,03140,Chantelle,434
435,26,Rue de Bourzat,03260,Saint-Germain-des-FossÃ©s,435
436,55,Boulevard des Romains,03200,Vichy,436
437,14,Avenue Henri Pontet,03440,BuxiÃ¨res-les-Mines,437
438,5,Rue des Freres Roux,03400,Yzeure,438
439,19,Rue des Cornillons,03300,Creuzier-le-Vieux,439
440,5,Rue des CÃ©vennes,03200,Vichy,440
441,3,Route de Coulanges,03130,Le Pin,441
442,72,Route de Gannat,03700,Bellerive-sur-Allier,442
443,9,Rue de la Planche,03410,DomÃ©rat,443
444,3,Chemin de Chez Plassus,42620,Saint-Pierre-Laval,444
445,5,Rue Belin,03200,Vichy,445
446,2,Lieu Dit Bellefontaine,03340,Neuilly-le-RÃ©al,446
447,7,Rue Piessat,03120,Lapalisse,447
448,22,Rue Nationale,03470,Coulanges,448
449,33,Rue Henri Cureyras,03300,Cusset,449
450,1,Rue Georges Brassens,03100,MontluÃ§on,450
451,1,Rue de la MergÃ©e,03250,FerriÃ¨res-sur-Sichon,451
452,4,Res de la Butte aux Cailles,03700,Bellerive-sur-Allier,452
453,3,Rue du Chatelet,03100,MontluÃ§on,453
454,40,Grande Rue,03800,Biozat,454
455,12,AllÃ©e de Provence,03300,Cusset,455
456,14,Route du Pavillon,03500,Loriges,456
457,25,Rue du Commandant GoÃ«tschy,03310,NÃ©ris-les-Bains,457
458,41,Rue des Ribes,03100,MontluÃ§on,458
459,3,Impasse de lâ€™An 2000,03460,TrÃ©vol,459
460,1,le Grand PrÃ©,03170,Chamblet,460
461,109,Rue F Lafaye Ã  M Menut,03300,Cusset,461
462,12,Rue du Bois de Sarlier,03110,BroÃ»t-Vernet,462
463,615,Rue Raoul Dautry,03310,Villebret,463
464,2,Route de l'Etang Roi,03400,Gennetines,464
465,32,Rue de la Paix,03630,DÃ©sertines,465
466,9,Rue du Puits,03380,Huriel,466
467,3,Chemin du Capricorne,03410,PrÃ©milhat,467
468,7,Chemin de PrÃ©-charmant,03300,Cusset,468
469,7,Rue du Docteur Vinatier,03320,Lurcy-LÃ©vis,469
470,43,Rue des Toines,03250,Saint-Nicolas-des-Biefs,470
471,68,Grande Rue,03800,Jenzat,471
472,11,Rue de la RÃ©publique,03430,Cosne-d'Allier,472
473,137,Route de Moulins,03290,Dompierre-sur-Besbre,473
474,20,Rue des 3 Fourneaux,03410,DomÃ©rat,474
475,36,Rue Emile Guillaumin,03130,Le Donjon,475
476,11,Route de Nassigny,03190,Vallon-en-Sully,476
